Timestamp                       Thread     Type        Activity             PID    TTL  
2026-01-26 20:37:21.411468+0100 0x1ac3467  Default     0x0                  30686  0    iosApp: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-01-26 20:37:21.411953+0100 0x1ac3466  Default     0x0                  30686  0    iosApp: (libxpc.dylib) [com.apple.xpc:connection] [0x103f04190] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-01-26 20:37:21.415405+0100 0x1ac3467  Default     0x0                  30686  0    iosApp: (libxpc.dylib) [com.apple.xpc:connection] [0x103f042a0] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-01-26 20:37:21.423775+0100 0x1ac3466  Activity    0x63c2b50            30686  0    iosApp: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-01-26 20:37:21.430576+0100 0x1ac342c  Default     0x0                  30686  0    iosApp: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-01-26 20:37:21.434066+0100 0x1ac342c  Default     0x0                  30686  0    iosApp: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-01-26 20:37:21.434295+0100 0x1ac342c  Default     0x0                  30686  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-01-26 20:37:21.434357+0100 0x1ac342c  Default     0x0                  30686  0    iosApp: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-01-26 20:37:21.434362+0100 0x1ac3463  Default     0x0                  30686  0    iosApp: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-01-26 20:37:21.434423+0100 0x1ac3463  Default     0x0                  30686  0    iosApp: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-01-26 20:37:21.434481+0100 0x1ac342c  Default     0x0                  30686  0    iosApp: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-01-26 20:37:21.434496+0100 0x1ac3463  Default     0x0                  30686  0    iosApp: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002106030>
2026-01-26 20:37:21.434591+0100 0x1ac346b  Default     0x0                  30686  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-01-26 20:37:21.434642+0100 0x1ac342c  Default     0x0                  30686  0    iosApp: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-01-26 20:37:21.434800+0100 0x1ac346b  Default     0x0                  30686  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-01-26 20:37:21.435203+0100 0x1ac346b  Default     0x0                  30686  0    iosApp: (libxpc.dylib) [com.apple.xpc:connection] [0x103904770] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
