Filtering the log data using "process == "iosApp""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-01-26 18:16:47.925345+0100 0x18b9de7  Default     0x0                  83618  0    iosApp: (libxpc.dylib) [com.apple.xpc:connection] [0x100e048c0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-01-26 18:16:47.925663+0100 0x18b9de8  Default     0x0                  83618  0    iosApp: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-01-26 18:16:47.925960+0100 0x18b9d62  Default     0x0                  83618  0    iosApp: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-01-26 18:16:47.926311+0100 0x18b9de8  Default     0x0                  83618  0    iosApp: (libxpc.dylib) [com.apple.xpc:connection] [0x103d04100] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-01-26 18:16:47.927871+0100 0x18b9de7  Activity    0x5b589a0            83618  0    iosApp: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-01-26 18:16:47.933290+0100 0x18b9ddb  Default     0x0                  83618  0    iosApp: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-01-26 18:16:47.933350+0100 0x18b9ddb  Default     0x0                  83618  0    iosApp: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-01-26 18:16:47.933468+0100 0x18b9ddb  Default     0x0                  83618  0    iosApp: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002102620>
2026-01-26 18:16:47.933489+0100 0x18b9d62  Default     0x0                  83618  0    iosApp: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-01-26 18:16:47.933550+0100 0x18b9ddb  Default     0x0                  83618  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-01-26 18:16:47.933614+0100 0x18b9ddb  Default     0x0                  83618  0    iosApp: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-01-26 18:16:47.933663+0100 0x18b9deb  Default     0x0                  83618  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-01-26 18:16:47.933712+0100 0x18b9deb  Default     0x0                  83618  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-01-26 18:16:47.933717+0100 0x18b9d62  Default     0x0                  83618  0    iosApp: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-01-26 18:16:47.933725+0100 0x18b9deb  Default     0x0                  83618  0    iosApp: (libxpc.dylib) [com.apple.xpc:connection] [0x103a05860] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-01-26 18:16:47.933876+0100 0x18b9d62  Default     0x0                  83618  0    iosApp: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-01-26 18:16:47.934182+0100 0x18b9d62  Default     0x0                  83618  0    iosApp: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-01-26 18:16:47.934384+0100 0x18b9de8  Activity    0x5b589a1            83618  0    iosApp: (RunningBoardServices) didChangeInheritances
2026-01-26 18:16:47.934699+0100 0x18b9deb  Default     0x0                  83618  0    iosApp: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
